work_order, service_code
324481, 'SFS30'
342704, 'SFS30'
344413, 'PFI10'
333843, 'PFI10'
330392, 'PFI10'
333857, 'PFI10'
331271, 'PFI10'
333466, 'SFS30'
335771, 'PFI10'
327375, 'PFI10'
346947, 'PFI10'
347481, 'PFI10'
344822, 'PFI10'
333472, 'SFS30'
335003, 'SFS30'
339639, 'SFS30'
324126, 'SFS30'
330153, 'PFI10'
326057, 'PFI10'
314783, 'SWM30'
358589, 'PFI10'
343142, 'PFI10'
341027, 'SFS30'
341741, 'SFS30'
332787, 'PFI10'
326080, 'PFI10'
350116, 'PFI10'
342512, 'PFI10'
344163, 'PFI10'
325589, 'SFS30'
365813, 'PFI11'
342274, 'PFI10'
328913, 'PFI10'
327388, 'PFI10'
352071, 'PFI10'
332785, 'PFI10'
305129, 'PFI10'
328911, 'PFI10'
342276, 'PFI10'
345519, 'PFI10'
349445, 'PFI10'
326082, 'PFI10'
324865, 'PFI10'
352059, 'PFI10'
348767, 'PFI10'
316828, 'SWM30'
332752, 'PFI10'
339161, 'SFS30'
346945, 'PFI10'
363535, 'PFI10'
352930, 'SFS30'
335773, 'PFI10'
344834, 'PFI10'
333464, 'SFS30'
369018, 'PFI10'
331273, 'PFI10'
368306, 'PFI10'
333470, 'SFS30'
343829, 'PFI10'
347497, 'PFI10'
313549, 'SFS30'
324483, 'SFS30'
337399, 'SFS30'
330384, 'PFI10'
357451, 'SFS30'
314568, 'SFS30'
367586, 'SFS30'
336911, 'PFI10'
325038, 'PFI10'
332544, 'PFI10'
330353, 'PFI10'
366673, 'SFS30'
320626, 'SFS30'
320632, 'SFS30'
337400, 'SFS30'
340850, 'PFI10'
332578, 'PFI10'
327175, 'PFI10'
361120, 'PFI11'
347681, 'SFS30'
335565, 'PFI10'
355291, 'PFI10'
365352, 'PFI10'
333672, 'PFI10'
331065, 'PFI10'
326486, 'SFS30'
322838, 'PFI10'
359534, 'SFS30'
348439, 'PFI10'
313429, 'SFS30'
356175, 'PFI10'
343236, 'PFI10'
358170, 'PFI10'
367380, 'SFS30'
336871, 'SFS30'
341421, 'PFI10'
346428, 'PFI10'
355332, 'SFS30'
338690, 'PFI10'
336865, 'PFI10'
365583, 'PFI10'
334041, 'PFI10'
340918, 'PFI10'
325158, 'PFI10'
340924, 'PFI10'
338647, 'PFI10'
335377, 'SFS30'
352663, 'PFI10'
349257, 'SFS30'
323918, 'SFS30'
353227, 'PFI10'
332801, 'SFS30'
343975, 'PFI10'
321896, 'SFS30'
368528, 'SFS30'
339001, 'PFI10'
359093, 'PFI10'
339015, 'SFS30'
360148, 'PFI10'
368514, 'PFI10'
343791, 'PFI10'
365030, 'SFS30'
344798, 'PFI10'
357082, 'PFI10'
328642, 'PFI10'
350921, 'PFI10'
369178, 'PFI10'
345492, 'PFI10'
344954, 'PFI10'
365024, 'SFS30'
357928, 'PFI10'
369179, 'PFI10'
368501, 'PFI10'
320579, 'SFS30'
352851, 'SFS30'
353597, 'PFI10'
339014, 'PFI10'
339000, 'PFI10'
339955, 'PFI10'
332800, 'SFS30'
365958, 'PFI10'
362789, 'PFI10'
323919, 'SFS30'
360834, 'SFS30'
304356, 'PFI10'
334295, 'PFI10'
336482, 'PFI10'
340931, 'PFI10'
339558, 'PFI10'
338646, 'PFI10'
341385, 'PFI10'
326336, 'PFI10'
353971, 'PFI10'
325159, 'PFI10'
340919, 'PFI10'
324535, 'SFS30'
338691, 'PFI10'
341420, 'PFI10'
336870, 'SFS30'
338685, 'PFI10'
367381, 'SFS30'
329788, 'SFS30'
333908, 'PFI10'
345120, 'SFS30'
346429, 'PFI10'
313428, 'SFS30'
336694, 'PFI10'
320790, 'SFS30'
359535, 'SFS30'
327160, 'PFI10'
343380, 'SFS30'
331070, 'PFI10'
361121, 'PFI11'
337367, 'PFI10'
320633, 'SFS30'
330346, 'PFI10'
330352, 'PFI10'
356982, 'PFI10'
343431, 'PFI10'
344438, 'PFI10'
315111, 'SFS30'
333868, 'PFI10'
348202, 'PFI10'
355247, 'SFS30'
339389, 'SFS30'
330385, 'PFI10'
352272, 'PFI10'
333840, 'PFI10'
332586, 'PFI10'
330391, 'PFI10'
324482, 'SFS30'
343828, 'PFI10'
335772, 'PFI10'
346944, 'PFI10'
333465, 'SFS30'
344835, 'PFI10'
348941, 'SFS30'
346978, 'PFI10'
334450, 'PFI10'
348014, 'PFI10'
326083, 'PFI10'
349444, 'SFS30'
324694, 'PFI10'
342505, 'PFI10'
352716, 'SFS30'
353453, 'PFI10'
332907, 'PFI10'
343126, 'PFI10'
364599, 'PFI10'
344649, 'PFI10'
341731, 'SFS30'
328793, 'PFI10'
326966, 'PFI10'
349437, 'PFI10'
346704, 'PFI10'
330692, 'SFS30'
323822, 'SFS30'
316641, 'PFI10'
326782, 'PFI10'
346710, 'PFI10'
335715, 'PFI10'
352956, 'PFI10'
337664, 'SFS30'
345580, 'SFS30'
337670, 'SFS30'
368374, 'SFS30'
367047, 'PFI10'
333370, 'SFS30'
364228, 'SFS30'
335701, 'PFI10'
330889, 'PFI10'
334437, 'PFI10'
328778, 'PFI10'
366371, 'PFI10'
337658, 'SFS30'
316696, 'SFS30'
336546, 'PFI10'
316682, 'PFI10'
328585, 'PFI10'
357351, 'PFI10'
345755, 'SFS30'
343442, 'PFI10'
347624, 'PFI10'
366832, 'SFS30'
313261, 'SFS30'
342990, 'PFI10'
318452, 'PFI10'
328591, 'PFI10'
352215, 'PFI10'
345769, 'PFI10'
346506, 'SWM30'
354102, 'PFI10'
346512, 'PFI10'
369297, 'PFI10'
363751, 'SFS30'
353686, 'PFI10'
337314, 'PFI10'
333614, 'PFI10'
364994, 'SFS30'
317952, 'PFI10'
336744, 'PFI10'
330335, 'PFI10'
349184, 'PFI10'
313467, 'SFS30'
343250, 'PFI10'
344259, 'PFI10'
313301, 'PFI10'
348463, 'PFI10'
354738, 'PFI10'
330282, 'PFI10'
346314, 'PFI10'
349027, 'PFI10'
